city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,11.8,0,2025-12-05T08:27:18.933215,simulated
Galle,6.0535,80.221,7.4,2,2025-12-05T08:27:18.933215,simulated
Kandy,7.2906,80.6337,25.8,1,2025-12-05T08:27:18.933215,simulated
Jaffna,9.6615,80.0255,19.6,1,2025-12-05T08:27:18.933215,simulated
Negombo,7.2083,79.8358,39.2,0,2025-12-05T08:27:18.933215,simulated
Anuradhapura,8.3114,80.4037,21.8,1,2025-12-05T08:27:18.933215,simulated
Kurunegala,7.4863,80.3647,27.1,1,2025-12-05T08:27:18.933215,simulated
Ratnapura,6.6828,80.3992,6.7,0,2025-12-05T08:27:18.933215,simulated
Matara,5.9549,80.555,15.4,0,2025-12-05T08:27:18.933215,simulated
Badulla,6.9934,81.055,45.6,2,2025-12-05T08:27:18.933215,simulated
