city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,29.9,0,2025-12-05T07:29:02.658583,simulated
Galle,6.0535,80.221,26.0,2,2025-12-05T07:29:02.658583,simulated
Kandy,7.2906,80.6337,38.1,0,2025-12-05T07:29:02.658583,simulated
Jaffna,9.6615,80.0255,38.9,0,2025-12-05T07:29:02.658583,simulated
Negombo,7.2083,79.8358,36.2,1,2025-12-05T07:29:02.658583,simulated
Anuradhapura,8.3114,80.4037,10.4,1,2025-12-05T07:29:02.658583,simulated
Kurunegala,7.4863,80.3647,26.3,0,2025-12-05T07:29:02.658583,simulated
Ratnapura,6.6828,80.3992,33.2,1,2025-12-05T07:29:02.658583,simulated
Matara,5.9549,80.555,43.6,5,2025-12-05T07:29:02.658583,simulated
Badulla,6.9934,81.055,34.4,0,2025-12-05T07:29:02.658583,simulated
