city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,14.4,2,2025-12-05T07:39:14.449206,simulated
Galle,6.0535,80.221,44.4,2,2025-12-05T07:39:14.449206,simulated
Kandy,7.2906,80.6337,26.7,1,2025-12-05T07:39:14.449206,simulated
Jaffna,9.6615,80.0255,10.1,1,2025-12-05T07:39:14.449206,simulated
Negombo,7.2083,79.8358,35.1,1,2025-12-05T07:39:14.449206,simulated
Anuradhapura,8.3114,80.4037,23.2,1,2025-12-05T07:39:14.449206,simulated
Kurunegala,7.4863,80.3647,36.8,2,2025-12-05T07:39:14.449206,simulated
Ratnapura,6.6828,80.3992,28.7,0,2025-12-05T07:39:14.449206,simulated
Matara,5.9549,80.555,32.9,0,2025-12-05T07:39:14.449206,simulated
Badulla,6.9934,81.055,45.3,2,2025-12-05T07:39:14.449206,simulated
