city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,24.1,1,2025-12-05T07:54:33.709536,simulated
Galle,6.0535,80.221,31.9,2,2025-12-05T07:54:33.709536,simulated
Kandy,7.2906,80.6337,9.9,1,2025-12-05T07:54:33.709536,simulated
Jaffna,9.6615,80.0255,34.9,1,2025-12-05T07:54:33.709536,simulated
Negombo,7.2083,79.8358,35.3,0,2025-12-05T07:54:33.709536,simulated
Anuradhapura,8.3114,80.4037,13.6,2,2025-12-05T07:54:33.709536,simulated
Kurunegala,7.4863,80.3647,12.1,1,2025-12-05T07:54:33.709536,simulated
Ratnapura,6.6828,80.3992,23.6,0,2025-12-05T07:54:33.709536,simulated
Matara,5.9549,80.555,22.9,0,2025-12-05T07:54:33.709536,simulated
Badulla,6.9934,81.055,20.5,1,2025-12-05T07:54:33.709536,simulated
