city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,41.0,5,2025-12-05T08:39:00.579565,simulated
Galle,6.0535,80.221,24.7,2,2025-12-05T08:39:00.579565,simulated
Kandy,7.2906,80.6337,27.3,0,2025-12-05T08:39:00.579565,simulated
Jaffna,9.6615,80.0255,23.1,0,2025-12-05T08:39:00.579565,simulated
Negombo,7.2083,79.8358,23.3,2,2025-12-05T08:39:00.579565,simulated
Anuradhapura,8.3114,80.4037,41.3,2,2025-12-05T08:39:00.579565,simulated
Kurunegala,7.4863,80.3647,45.4,2,2025-12-05T08:39:00.579565,simulated
Ratnapura,6.6828,80.3992,41.9,2,2025-12-05T08:39:00.579565,simulated
Matara,5.9549,80.555,46.3,4,2025-12-05T08:39:00.579565,simulated
Badulla,6.9934,81.055,28.3,2,2025-12-05T08:39:00.579565,simulated
