city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,30.3,1,2025-12-05T07:34:08.338050,simulated
Galle,6.0535,80.221,46.5,4,2025-12-05T07:34:08.338050,simulated
Kandy,7.2906,80.6337,19.5,0,2025-12-05T07:34:08.338050,simulated
Jaffna,9.6615,80.0255,10.2,2,2025-12-05T07:34:08.338050,simulated
Negombo,7.2083,79.8358,37.3,0,2025-12-05T07:34:08.338050,simulated
Anuradhapura,8.3114,80.4037,23.9,1,2025-12-05T07:34:08.338050,simulated
Kurunegala,7.4863,80.3647,32.7,2,2025-12-05T07:34:08.338050,simulated
Ratnapura,6.6828,80.3992,34.0,2,2025-12-05T07:34:08.338050,simulated
Matara,5.9549,80.555,34.2,0,2025-12-05T07:34:08.338050,simulated
Badulla,6.9934,81.055,44.9,3,2025-12-05T07:34:08.338050,simulated
