city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,21.4,1,2025-12-05T08:01:49.834909,simulated
Galle,6.0535,80.221,38.7,2,2025-12-05T08:01:49.834909,simulated
Kandy,7.2906,80.6337,14.0,2,2025-12-05T08:01:49.834909,simulated
Jaffna,9.6615,80.0255,22.4,0,2025-12-05T08:01:49.834909,simulated
Negombo,7.2083,79.8358,34.9,0,2025-12-05T08:01:49.834909,simulated
Anuradhapura,8.3114,80.4037,24.4,2,2025-12-05T08:01:49.834909,simulated
Kurunegala,7.4863,80.3647,27.0,0,2025-12-05T08:01:49.834909,simulated
Ratnapura,6.6828,80.3992,29.6,2,2025-12-05T08:01:49.834909,simulated
Matara,5.9549,80.555,18.8,0,2025-12-05T08:01:49.834909,simulated
Badulla,6.9934,81.055,25.2,1,2025-12-05T08:01:49.834909,simulated
