city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,34.4,0,2025-12-05T07:03:24.045334,simulated
Galle,6.0535,80.221,19.3,0,2025-12-05T07:03:24.045334,simulated
Kandy,7.2906,80.6337,40.3,0,2025-12-05T07:03:24.045334,simulated
Jaffna,9.6615,80.0255,21.0,0,2025-12-05T07:03:24.045334,simulated
Negombo,7.2083,79.8358,23.3,2,2025-12-05T07:03:24.045334,simulated
Anuradhapura,8.3114,80.4037,17.6,0,2025-12-05T07:03:24.045334,simulated
Kurunegala,7.4863,80.3647,39.8,2,2025-12-05T07:03:24.045334,simulated
Ratnapura,6.6828,80.3992,20.4,0,2025-12-05T07:03:24.045334,simulated
Matara,5.9549,80.555,37.7,0,2025-12-05T07:03:24.045334,simulated
Badulla,6.9934,81.055,41.0,1,2025-12-05T07:03:24.045334,simulated
