city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,27.5,0,2025-12-05T08:17:06.127257,simulated
Galle,6.0535,80.221,18.0,0,2025-12-05T08:17:06.127257,simulated
Kandy,7.2906,80.6337,25.3,0,2025-12-05T08:17:06.127257,simulated
Jaffna,9.6615,80.0255,33.0,1,2025-12-05T08:17:06.127257,simulated
Negombo,7.2083,79.8358,39.7,0,2025-12-05T08:17:06.127257,simulated
Anuradhapura,8.3114,80.4037,23.6,1,2025-12-05T08:17:06.127257,simulated
Kurunegala,7.4863,80.3647,35.9,2,2025-12-05T08:17:06.127257,simulated
Ratnapura,6.6828,80.3992,34.5,1,2025-12-05T08:17:06.127257,simulated
Matara,5.9549,80.555,37.0,0,2025-12-05T08:17:06.127257,simulated
Badulla,6.9934,81.055,11.5,0,2025-12-05T08:17:06.127257,simulated
