city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,20.6,2,2025-12-05T08:37:39.503177,simulated
Galle,6.0535,80.221,27.8,2,2025-12-05T08:37:39.503177,simulated
Kandy,7.2906,80.6337,18.1,2,2025-12-05T08:37:39.503177,simulated
Jaffna,9.6615,80.0255,14.7,0,2025-12-05T08:37:39.503177,simulated
Negombo,7.2083,79.8358,38.9,0,2025-12-05T08:37:39.503177,simulated
Anuradhapura,8.3114,80.4037,41.8,0,2025-12-05T08:37:39.503177,simulated
Kurunegala,7.4863,80.3647,26.6,0,2025-12-05T08:37:39.503177,simulated
Ratnapura,6.6828,80.3992,9.7,2,2025-12-05T08:37:39.503177,simulated
Matara,5.9549,80.555,32.8,1,2025-12-05T08:37:39.503177,simulated
Badulla,6.9934,81.055,32.0,0,2025-12-05T08:37:39.503177,simulated
