city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,17.3,1,2025-12-05T06:58:13.811208,simulated
Galle,6.0535,80.221,29.8,2,2025-12-05T06:58:13.811208,simulated
Kandy,7.2906,80.6337,21.9,0,2025-12-05T06:58:13.811208,simulated
Jaffna,9.6615,80.0255,30.7,2,2025-12-05T06:58:13.811208,simulated
Negombo,7.2083,79.8358,8.6,2,2025-12-05T06:58:13.811208,simulated
Anuradhapura,8.3114,80.4037,27.2,1,2025-12-05T06:58:13.811208,simulated
Kurunegala,7.4863,80.3647,34.9,2,2025-12-05T06:58:13.811208,simulated
Ratnapura,6.6828,80.3992,34.8,0,2025-12-05T06:58:13.811208,simulated
Matara,5.9549,80.555,21.0,0,2025-12-05T06:58:13.811208,simulated
Badulla,6.9934,81.055,18.1,0,2025-12-05T06:58:13.811208,simulated
