city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,39.9,0,2025-12-05T08:54:33.268182,simulated
Galle,6.0535,80.221,36.7,1,2025-12-05T08:54:33.268182,simulated
Kandy,7.2906,80.6337,41.2,4,2025-12-05T08:54:33.268182,simulated
Jaffna,9.6615,80.0255,14.9,1,2025-12-05T08:54:33.268182,simulated
Negombo,7.2083,79.8358,34.6,0,2025-12-05T08:54:33.268182,simulated
Anuradhapura,8.3114,80.4037,16.0,0,2025-12-05T08:54:33.268182,simulated
Kurunegala,7.4863,80.3647,26.9,1,2025-12-05T08:54:33.268182,simulated
Ratnapura,6.6828,80.3992,27.7,0,2025-12-05T08:54:33.268182,simulated
Matara,5.9549,80.555,32.6,2,2025-12-05T08:54:33.268182,simulated
Badulla,6.9934,81.055,22.1,0,2025-12-05T08:54:33.268182,simulated
