city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,36.3,1,2025-12-05T07:18:51.905324,simulated
Galle,6.0535,80.221,20.0,1,2025-12-05T07:18:51.905324,simulated
Kandy,7.2906,80.6337,23.9,1,2025-12-05T07:18:51.905324,simulated
Jaffna,9.6615,80.0255,30.4,1,2025-12-05T07:18:51.905324,simulated
Negombo,7.2083,79.8358,14.7,0,2025-12-05T07:18:51.905324,simulated
Anuradhapura,8.3114,80.4037,32.6,1,2025-12-05T07:18:51.905324,simulated
Kurunegala,7.4863,80.3647,25.3,2,2025-12-05T07:18:51.905324,simulated
Ratnapura,6.6828,80.3992,18.4,1,2025-12-05T07:18:51.905324,simulated
Matara,5.9549,80.555,29.5,0,2025-12-05T07:18:51.905324,simulated
Badulla,6.9934,81.055,44.4,1,2025-12-05T07:18:51.905324,simulated
