city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,27.9,1,2025-12-05T08:22:12.066771,simulated
Galle,6.0535,80.221,12.0,2,2025-12-05T08:22:12.066771,simulated
Kandy,7.2906,80.6337,31.9,2,2025-12-05T08:22:12.066771,simulated
Jaffna,9.6615,80.0255,41.9,5,2025-12-05T08:22:12.066771,simulated
Negombo,7.2083,79.8358,13.4,2,2025-12-05T08:22:12.066771,simulated
Anuradhapura,8.3114,80.4037,42.7,2,2025-12-05T08:22:12.066771,simulated
Kurunegala,7.4863,80.3647,43.9,3,2025-12-05T08:22:12.066771,simulated
Ratnapura,6.6828,80.3992,22.1,1,2025-12-05T08:22:12.066771,simulated
Matara,5.9549,80.555,17.8,1,2025-12-05T08:22:12.066771,simulated
Badulla,6.9934,81.055,29.2,1,2025-12-05T08:22:12.066771,simulated
