city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,20.1,2,2025-12-05T07:44:21.038266,simulated
Galle,6.0535,80.221,43.8,5,2025-12-05T07:44:21.038266,simulated
Kandy,7.2906,80.6337,12.7,1,2025-12-05T07:44:21.038266,simulated
Jaffna,9.6615,80.0255,38.0,2,2025-12-05T07:44:21.038266,simulated
Negombo,7.2083,79.8358,16.1,0,2025-12-05T07:44:21.038266,simulated
Anuradhapura,8.3114,80.4037,27.5,1,2025-12-05T07:44:21.038266,simulated
Kurunegala,7.4863,80.3647,16.6,1,2025-12-05T07:44:21.038266,simulated
Ratnapura,6.6828,80.3992,17.1,1,2025-12-05T07:44:21.038266,simulated
Matara,5.9549,80.555,28.0,1,2025-12-05T07:44:21.038266,simulated
Badulla,6.9934,81.055,28.0,1,2025-12-05T07:44:21.038266,simulated
