city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,43.2,0,2025-12-05T07:08:35.330734,simulated
Galle,6.0535,80.221,34.5,1,2025-12-05T07:08:35.330734,simulated
Kandy,7.2906,80.6337,14.6,2,2025-12-05T07:08:35.330734,simulated
Jaffna,9.6615,80.0255,45.3,2,2025-12-05T07:08:35.330734,simulated
Negombo,7.2083,79.8358,11.3,2,2025-12-05T07:08:35.330734,simulated
Anuradhapura,8.3114,80.4037,10.3,2,2025-12-05T07:08:35.330734,simulated
Kurunegala,7.4863,80.3647,18.2,2,2025-12-05T07:08:35.330734,simulated
Ratnapura,6.6828,80.3992,9.5,1,2025-12-05T07:08:35.330734,simulated
Matara,5.9549,80.555,19.3,2,2025-12-05T07:08:35.330734,simulated
Badulla,6.9934,81.055,24.2,0,2025-12-05T07:08:35.330734,simulated
