city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,27.8,1,2025-12-05T08:44:09.163494,simulated
Galle,6.0535,80.221,34.5,0,2025-12-05T08:44:09.163494,simulated
Kandy,7.2906,80.6337,30.5,2,2025-12-05T08:44:09.163494,simulated
Jaffna,9.6615,80.0255,12.9,1,2025-12-05T08:44:09.163494,simulated
Negombo,7.2083,79.8358,31.9,0,2025-12-05T08:44:09.163494,simulated
Anuradhapura,8.3114,80.4037,37.8,2,2025-12-05T08:44:09.163494,simulated
Kurunegala,7.4863,80.3647,40.0,1,2025-12-05T08:44:09.163494,simulated
Ratnapura,6.6828,80.3992,20.6,0,2025-12-05T08:44:09.163494,simulated
Matara,5.9549,80.555,32.7,1,2025-12-05T08:44:09.163494,simulated
Badulla,6.9934,81.055,32.2,0,2025-12-05T08:44:09.163494,simulated
