city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,26.0,1,2025-12-05T07:49:28.310361,simulated
Galle,6.0535,80.221,29.3,2,2025-12-05T07:49:28.310361,simulated
Kandy,7.2906,80.6337,24.2,1,2025-12-05T07:49:28.310361,simulated
Jaffna,9.6615,80.0255,30.8,1,2025-12-05T07:49:28.310361,simulated
Negombo,7.2083,79.8358,24.4,0,2025-12-05T07:49:28.310361,simulated
Anuradhapura,8.3114,80.4037,34.6,1,2025-12-05T07:49:28.310361,simulated
Kurunegala,7.4863,80.3647,39.6,1,2025-12-05T07:49:28.310361,simulated
Ratnapura,6.6828,80.3992,21.2,2,2025-12-05T07:49:28.310361,simulated
Matara,5.9549,80.555,21.0,1,2025-12-05T07:49:28.310361,simulated
Badulla,6.9934,81.055,14.1,2,2025-12-05T07:49:28.310361,simulated
