city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,40.4,5,2025-12-05T08:12:00.478867,simulated
Galle,6.0535,80.221,26.8,1,2025-12-05T08:12:00.478867,simulated
Kandy,7.2906,80.6337,23.6,1,2025-12-05T08:12:00.478867,simulated
Jaffna,9.6615,80.0255,26.1,2,2025-12-05T08:12:00.478867,simulated
Negombo,7.2083,79.8358,26.9,1,2025-12-05T08:12:00.478867,simulated
Anuradhapura,8.3114,80.4037,36.3,1,2025-12-05T08:12:00.478867,simulated
Kurunegala,7.4863,80.3647,19.7,1,2025-12-05T08:12:00.478867,simulated
Ratnapura,6.6828,80.3992,32.5,1,2025-12-05T08:12:00.478867,simulated
Matara,5.9549,80.555,31.3,0,2025-12-05T08:12:00.478867,simulated
Badulla,6.9934,81.055,30.3,0,2025-12-05T08:12:00.478867,simulated
