city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,40.8,2,2025-12-05T07:13:46.433767,simulated
Galle,6.0535,80.221,32.1,1,2025-12-05T07:13:46.433767,simulated
Kandy,7.2906,80.6337,13.9,2,2025-12-05T07:13:46.433767,simulated
Jaffna,9.6615,80.0255,39.2,2,2025-12-05T07:13:46.433767,simulated
Negombo,7.2083,79.8358,17.5,0,2025-12-05T07:13:46.433767,simulated
Anuradhapura,8.3114,80.4037,22.5,0,2025-12-05T07:13:46.433767,simulated
Kurunegala,7.4863,80.3647,25.7,1,2025-12-05T07:13:46.433767,simulated
Ratnapura,6.6828,80.3992,35.5,0,2025-12-05T07:13:46.433767,simulated
Matara,5.9549,80.555,10.1,0,2025-12-05T07:13:46.433767,simulated
Badulla,6.9934,81.055,18.6,2,2025-12-05T07:13:46.433767,simulated
