city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,32.0,1,2025-12-05T08:32:30.799964,simulated
Galle,6.0535,80.221,37.9,0,2025-12-05T08:32:30.799964,simulated
Kandy,7.2906,80.6337,20.9,0,2025-12-05T08:32:30.799964,simulated
Jaffna,9.6615,80.0255,27.2,2,2025-12-05T08:32:30.799964,simulated
Negombo,7.2083,79.8358,27.7,0,2025-12-05T08:32:30.799964,simulated
Anuradhapura,8.3114,80.4037,28.3,2,2025-12-05T08:32:30.799964,simulated
Kurunegala,7.4863,80.3647,33.4,0,2025-12-05T08:32:30.799964,simulated
Ratnapura,6.6828,80.3992,31.3,2,2025-12-05T08:32:30.799964,simulated
Matara,5.9549,80.555,45.1,4,2025-12-05T08:32:30.799964,simulated
Badulla,6.9934,81.055,23.2,0,2025-12-05T08:32:30.799964,simulated
