city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,16.9,2,2025-12-05T08:06:55.093665,simulated
Galle,6.0535,80.221,36.0,2,2025-12-05T08:06:55.093665,simulated
Kandy,7.2906,80.6337,17.5,0,2025-12-05T08:06:55.093665,simulated
Jaffna,9.6615,80.0255,40.0,4,2025-12-05T08:06:55.093665,simulated
Negombo,7.2083,79.8358,39.5,2,2025-12-05T08:06:55.093665,simulated
Anuradhapura,8.3114,80.4037,24.4,1,2025-12-05T08:06:55.093665,simulated
Kurunegala,7.4863,80.3647,35.9,0,2025-12-05T08:06:55.093665,simulated
Ratnapura,6.6828,80.3992,23.2,1,2025-12-05T08:06:55.093665,simulated
Matara,5.9549,80.555,34.0,2,2025-12-05T08:06:55.093665,simulated
Badulla,6.9934,81.055,19.7,2,2025-12-05T08:06:55.093665,simulated
