id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1230.0,1290.0,1196.0,1200.25,-33.0,-2.6758566,1348,1764924738871,1,2025-12-06T05:14:19.455270
1845,AFSL.N0000,68.5,70.0,65.5,66.4,-2.1,-3.0656934,3851,1764924254996,4,2025-12-06T05:14:19.455270
2065,AEL.N0000,71.4,73.0,70.9,71.2,-0.1,-0.14025246,1707483,1764925182169,991,2025-12-06T05:14:19.455270
472,ACL.N0000,238.0,245.0,237.5,239.0,-0.75,-0.31282586,287768,1764925185228,500,2025-12-06T05:14:19.455270
406,APLA.N0000,1649.5,1649.5,1550.0,1566.0,-26.0,-1.6331658,832,1764924931208,11,2025-12-06T05:14:19.455270
554,ACME.N0000,6.4,6.4,6.0,6.0,-0.2,-3.2258065,39507,1764924868320,30,2025-12-06T05:14:19.455270
163,AGAL.N0000,52.1,52.1,49.0,49.8,-2.8,-5.323194,59002,1764924608251,100,2025-12-06T05:14:19.455270
2026,AGST.N0000,8.7,8.9,8.4,8.5,-0.1,-1.1627907,555857,1764925041487,30,2025-12-06T05:14:19.455270
2035,AGST.X0000,12.2,12.2,12.2,12.2,0.7,6.0869565,401,1764920253163,1,2025-12-06T05:14:19.455270
144,AHUN.N0000,103.25,107.0,102.0,103.25,1.25,1.2254902,30967,1764925190765,893,2025-12-06T05:14:19.455270
