id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1199.75,1220.0,1199.75,1220.0,25.0,2.0920503,110,1765253110061,100,2025-12-09T04:10:51.139660
1845,AFSL.N0000,72.5,72.5,72.5,72.5,6.4,9.6823,117,1765252966682,117,2025-12-09T04:10:51.139660
2065,AEL.N0000,72.0,73.5,72.0,73.4,1.4,1.9444444,7939,1765253395564,200,2025-12-09T04:10:51.139660
472,ACL.N0000,244.25,245.0,244.0,244.5,0.5,0.20491803,80353,1765253305274,100,2025-12-09T04:10:51.139660
554,ACME.N0000,6.3,6.3,6.3,6.3,0.2,3.2786884,12,1765252800245,12,2025-12-09T04:10:51.139660
163,AGAL.N0000,50.2,50.2,50.2,50.2,0.4,0.8032129,1860,1765253014640,1672,2025-12-09T04:10:51.139660
2026,AGST.N0000,8.8,8.8,8.8,8.8,0.1,1.1494253,1520,1765253031966,5,2025-12-09T04:10:51.139660
144,AHUN.N0000,107.0,107.0,107.0,107.0,2.5,2.3923445,35,1765252800248,35,2025-12-09T04:10:51.139660
343,SPEN.N0000,149.0,149.0,149.0,149.0,1.0,0.6756757,28,1765252800321,28,2025-12-09T04:10:51.139660
5511,AFS.N0000,23.0,23.1,23.0,23.1,-1.1,-4.5454545,3005,1765253131336,5,2025-12-09T04:10:51.139660
