id,securityId,symbol,price,change,changePercentage,tradeDate,fetched_at_utc
52664778,117,SIL.N0000,350.0,-42.0,-10.714285714285714,1765167029000,2025-12-08T04:34:46.051720
52667478,389,LAMB.N0000,1390.0,-95.0,-6.397306397306397,1765168100000,2025-12-08T04:34:46.051720
52668325,4439,MCPL.N0000,43.3,-2.1,-4.6255506607929515,1765169068000,2025-12-08T04:34:46.051720
52664087,363,NEH.N0000,4300.0,-200.0,-4.444444444444445,1765167231000,2025-12-08T04:34:46.051720
52666923,527,LCEY.N0000,84.0,-3.8,-4.328018223234624,1765168378000,2025-12-08T04:34:46.051720
52668543,477,TPL.N0000,139.0,-5.5,-3.8062283737024223,1765168448000,2025-12-08T04:34:46.051720
52665479,510,CTHR.N0000,646.0,-25.5,-3.7974683544303796,1765167463000,2025-12-08T04:34:46.051720
52666752,354,PALM.N0000,67.5,-2.5,-3.5714285714285716,1765167669000,2025-12-08T04:34:46.051720
52668449,160,ACAP.N0000,5.5,-0.2,-3.508771929824561,1765169317000,2025-12-08T04:34:46.051720
52668528,26,EBCR.N0000,60.0,-2.0,-3.225806451612903,1765168526000,2025-12-08T04:34:46.051720
