id,securityId,symbol,price,change,changePercentage,tradeDate,fetched_at_utc
52712142,357,SEMB.X0000,0.4,0.1,33.333333333333336,1765264651000,2025-12-09T07:22:43.623681
52712347,267,DOCK.N0000,174.0,34.75,24.95511669658887,1765265601000,2025-12-09T07:22:43.623681
52712647,189,BOGA.N0000,149.5,29.75,24.843423799582464,1765265731000,2025-12-09T07:22:43.623681
52708359,6616,INME.N0000,2300.0,444.25,23.939108177286812,1765262435000,2025-12-09T07:22:43.623681
52711305,5351,MDL.N0000,20.9,2.7,14.835164835164836,1765264595000,2025-12-09T07:22:43.623681
52712684,5732,UBF.N0000,3.4,0.4,13.333333333333334,1765265491000,2025-12-09T07:22:43.623681
52710999,203,RGEM.N0000,99.9,11.0,12.373453318335208,1765263933000,2025-12-09T07:22:43.623681
52712431,400,MBSL.N0000,11.0,1.0,10.0,1765265171000,2025-12-09T07:22:43.623681
52710075,2997,TESS.X0000,1.1,0.1,10.0,1765263574000,2025-12-09T07:22:43.623681
52711041,246,SHOT.N0000,21.8,1.9,9.547738693467336,1765264331000,2025-12-09T07:22:43.623681
