id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
2065,AEL.N0000,71.5,72.8,71.5,72.8,1.6,2.247191,41627,1765166515994,21,2025-12-08T04:02:50.535098
472,ACL.N0000,240.75,241.0,240.75,241.0,2.0,0.83682007,5504,1765166501881,4679,2025-12-08T04:02:50.535098
406,APLA.N0000,1580.0,1580.0,1580.0,1580.0,14.0,0.89399743,5,1765166400275,5,2025-12-08T04:02:50.535098
163,AGAL.N0000,50.0,50.0,50.0,50.0,0.2,0.40160644,200,1765166400272,200,2025-12-08T04:02:50.535098
2026,AGST.N0000,8.6,8.6,8.6,8.6,0.1,1.1764706,50,1765166452058,10,2025-12-08T04:02:50.535098
144,AHUN.N0000,103.25,103.25,103.25,103.25,0.0,0.0,718,1765166534000,500,2025-12-08T04:02:50.535098
343,SPEN.N0000,148.0,148.0,148.0,148.0,-1.0,-0.67114097,180,1765166400327,180,2025-12-08T04:02:50.535098
395,ALLI.N0000,365.0,366.5,365.0,366.5,7.0,1.9471488,1279,1765166534103,20,2025-12-08T04:02:50.535098
5511,AFS.N0000,22.8,22.8,22.8,22.8,0.4,1.7857143,220,1765166400338,220,2025-12-08T04:02:50.535098
3082,ALUM.N0000,18.9,18.9,18.8,18.8,-0.1,-0.52910054,3906,1765166517985,5,2025-12-08T04:02:50.535098
