id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1199.75,1220.0,1199.75,1220.0,25.0,2.0920503,110,1765253110061,100,2025-12-09T04:16:21.991805
1845,AFSL.N0000,72.5,72.5,72.5,72.5,6.4,9.6823,117,1765252966682,117,2025-12-09T04:16:21.991805
2065,AEL.N0000,72.0,73.5,72.0,73.0,1.0,1.3888888,14341,1765253743986,500,2025-12-09T04:16:21.991805
472,ACL.N0000,244.25,245.0,244.0,244.5,0.5,0.20491803,85165,1765253773076,2,2025-12-09T04:16:21.991805
554,ACME.N0000,6.3,6.3,6.1,6.1,0.0,0.0,1512,1765253695347,1500,2025-12-09T04:16:21.991805
163,AGAL.N0000,50.2,52.7,50.2,52.7,2.9,5.823293,3880,1765253555011,240,2025-12-09T04:16:21.991805
2026,AGST.N0000,8.8,8.8,8.8,8.8,0.1,1.1494253,2620,1765253671877,100,2025-12-09T04:16:21.991805
144,AHUN.N0000,107.0,107.0,105.0,105.0,0.5,0.4784689,135,1765253695739,11,2025-12-09T04:16:21.991805
343,SPEN.N0000,149.0,149.0,149.0,149.0,1.0,0.6756757,28,1765252800321,28,2025-12-09T04:16:21.991805
5511,AFS.N0000,23.0,23.1,23.0,23.1,-1.1,-4.5454545,3005,1765253131336,5,2025-12-09T04:16:21.991805
