id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1199.75,1220.0,1100.0,1100.0,-95.0,-7.949791,3061,1765263446750,25,2025-12-09T06:59:31.903772
1845,AFSL.N0000,72.5,72.9,68.0,68.0,1.9,2.8744326,3174,1765263399373,100,2025-12-09T06:59:31.903772
2065,AEL.N0000,72.0,73.5,72.0,72.9,0.9,1.25,294152,1765263484962,50,2025-12-09T06:59:31.903772
472,ACL.N0000,244.25,260.25,244.0,258.75,14.75,6.045082,691763,1765263499108,3,2025-12-09T06:59:31.903772
406,APLA.N0000,1637.5,1638.0,1601.0,1606.0,-10.5,-0.6495515,88,1765261691867,3,2025-12-09T06:59:31.903772
554,ACME.N0000,6.3,6.3,5.9,5.9,-0.2,-3.2786884,182912,1765263492090,184,2025-12-09T06:59:31.903772
163,AGAL.N0000,50.2,52.7,50.2,52.0,2.2,4.4176707,8979,1765262723525,338,2025-12-09T06:59:31.903772
2026,AGST.N0000,8.8,9.1,8.7,9.0,0.3,3.4482758,338168,1765263095592,43000,2025-12-09T06:59:31.903772
144,AHUN.N0000,107.0,107.0,102.75,106.0,1.5,1.4354067,142536,1765263354313,200,2025-12-09T06:59:31.903772
343,SPEN.N0000,149.0,149.0,147.5,147.5,-0.5,-0.33783785,2047,1765263117542,50,2025-12-09T06:59:31.903772
