id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1199.75,1220.0,1100.0,1100.0,-95.0,-7.949791,3002,1765263223988,7,2025-12-09T06:54:22.972486
1845,AFSL.N0000,72.5,72.9,69.0,69.0,2.9,4.387292,3074,1765262328625,12,2025-12-09T06:54:22.972486
2065,AEL.N0000,72.0,73.5,72.0,72.8,0.8,1.1111112,237352,1765263174805,5655,2025-12-09T06:54:22.972486
472,ACL.N0000,244.25,260.25,244.0,260.0,16.0,6.557377,676407,1765263223607,5,2025-12-09T06:54:22.972486
406,APLA.N0000,1637.5,1638.0,1601.0,1606.0,-10.5,-0.6495515,88,1765261691867,3,2025-12-09T06:54:22.972486
554,ACME.N0000,6.3,6.3,5.9,6.0,-0.1,-1.6393442,155912,1765262847820,150,2025-12-09T06:54:22.972486
163,AGAL.N0000,50.2,52.7,50.2,52.0,2.2,4.4176707,8979,1765262723525,338,2025-12-09T06:54:22.972486
2026,AGST.N0000,8.8,9.1,8.7,9.0,0.3,3.4482758,338168,1765263095592,43000,2025-12-09T06:54:22.972486
144,AHUN.N0000,107.0,107.0,102.75,106.0,1.5,1.4354067,142336,1765263012565,600,2025-12-09T06:54:22.972486
343,SPEN.N0000,149.0,149.0,147.5,147.5,-0.5,-0.33783785,2047,1765263117542,50,2025-12-09T06:54:22.972486
