id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
1845,AFSL.N0000,68.0,68.0,68.0,68.0,1.6,2.4096386,100,1765166783209,99,2025-12-08T04:08:00.357037
2065,AEL.N0000,71.5,73.0,71.5,72.9,1.7,2.3876405,70989,1765166864116,15,2025-12-08T04:08:00.357037
472,ACL.N0000,240.75,243.0,240.75,243.0,4.0,1.6736401,7556,1765166838155,20,2025-12-08T04:08:00.357037
406,APLA.N0000,1580.0,1642.0,1580.0,1642.0,76.0,4.853129,48,1765166798826,1,2025-12-08T04:08:00.357037
163,AGAL.N0000,50.0,50.0,50.0,50.0,0.2,0.40160644,601,1765166849770,76,2025-12-08T04:08:00.357037
2026,AGST.N0000,8.6,8.7,8.6,8.7,0.2,2.3529413,96663,1765166871109,7500,2025-12-08T04:08:00.357037
144,AHUN.N0000,103.25,103.25,102.25,102.25,-1.0,-0.968523,723,1765166864722,5,2025-12-08T04:08:00.357037
343,SPEN.N0000,148.0,151.0,148.0,151.0,2.0,1.3422819,183,1765166856938,3,2025-12-08T04:08:00.357037
395,ALLI.N0000,365.0,366.5,365.0,365.0,5.5,1.5299027,2178,1765166747930,741,2025-12-08T04:08:00.357037
5511,AFS.N0000,22.8,22.8,22.8,22.8,0.4,1.7857143,220,1765166400338,220,2025-12-08T04:08:00.357037
