id,securityId,symbol,price,change,changePercentage,tradeDate,fetched_at_utc
52692132,357,SEMB.X0000,0.4,0.1,33.333333333333336,1765252985000,2025-12-09T04:05:40.603905
52692255,1845,AFSL.N0000,72.5,6.4,9.68229954614221,1765253644000,2025-12-09T04:05:40.603905
52692180,277,CIT.N0000,514.5,42.5,9.004237288135593,1765253339000,2025-12-09T04:05:40.603905
52691921,117,SIL.N0000,385.0,28.75,8.070175438596491,1765252807000,2025-12-09T04:05:40.603905
52691945,5351,MDL.N0000,19.4,1.2,6.593406593406593,1765252807000,2025-12-09T04:05:40.603905
52692528,267,DOCK.N0000,148.0,8.75,6.283662477558348,1765253540000,2025-12-09T04:05:40.603905
52692179,278,UCAR.N0000,1286.5,72.75,5.993820803295572,1765253551000,2025-12-09T04:05:40.603905
52692051,505,CSD.N0000,32.7,1.8,5.825242718446602,1765253176000,2025-12-09T04:05:40.603905
52692259,329,KHC.N0000,16.9,0.9,5.625,1765253010000,2025-12-09T04:05:40.603905
52692105,5753,AGPL.N0000,19.0,1.0,5.555555555555555,1765253598000,2025-12-09T04:05:40.603905
