id,securityId,symbol,price,change,changePercentage,tradeDate,fetched_at_utc
52692476,363,NEH.N0000,4152.0,-348.0,-7.733333333333333,1765253567000,2025-12-09T04:05:41.222249
52692068,4439,MCPL.N0000,43.8,-2.7,-5.806451612903226,1765252915000,2025-12-09T04:05:41.222249
52692441,5511,AFS.N0000,23.1,-1.1,-4.545454545454546,1765253963000,2025-12-09T04:05:41.222249
52692445,300,VLL.N0000,22.0,-0.8,-3.508771929824561,1765253235000,2025-12-09T04:05:41.222249
52692133,354,PALM.N0000,67.1,-2.2,-3.1746031746031744,1765253216000,2025-12-09T04:05:41.222249
52691895,209,MSL.N0000,500.25,-15.25,-2.9582929194956353,1765252807000,2025-12-09T04:05:41.222249
52691949,5532,LUMX.N0000,6.6,-0.2,-2.9411764705882355,1765252807000,2025-12-09T04:05:41.222249
52691887,137,LPRT.N0000,420.0,-11.0,-2.5522041763341066,1765252807000,2025-12-09T04:05:41.222249
52692405,5353,COOP.N0000,3.9,-0.1,-2.5,1765253441000,2025-12-09T04:05:41.222249
52691942,5173,EML.N0000,4.6,-0.1,-2.127659574468085,1765252807000,2025-12-09T04:05:41.222249
