id,securityId,symbol,price,change,changePercentage,tradeDate,fetched_at_utc
52692074,185,SEMB.N0000,0.6,-0.1,-14.285714285714286,1765253425000,2025-12-09T04:02:42.270305
52692130,363,NEH.N0000,4152.0,-348.0,-7.733333333333333,1765253668000,2025-12-09T04:02:42.270305
52692068,4439,MCPL.N0000,43.8,-2.7,-5.806451612903226,1765252915000,2025-12-09T04:02:42.270305
52691948,5511,AFS.N0000,23.0,-1.2,-4.958677685950414,1765252807000,2025-12-09T04:02:42.270305
52692133,354,PALM.N0000,67.1,-2.2,-3.1746031746031744,1765253216000,2025-12-09T04:02:42.270305
52691895,209,MSL.N0000,500.25,-15.25,-2.9582929194956353,1765252807000,2025-12-09T04:02:42.270305
52691949,5532,LUMX.N0000,6.6,-0.2,-2.9411764705882355,1765252807000,2025-12-09T04:02:42.270305
52691887,137,LPRT.N0000,420.0,-11.0,-2.5522041763341066,1765252807000,2025-12-09T04:02:42.270305
52691946,5353,COOP.N0000,3.9,-0.1,-2.5,1765252807000,2025-12-09T04:02:42.270305
52691942,5173,EML.N0000,4.6,-0.1,-2.127659574468085,1765252807000,2025-12-09T04:02:42.270305
