id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1199.75,1199.75,1199.75,1199.75,4.75,0.39748955,7,1765252800244,7,2025-12-09T04:02:40.648016
2065,AEL.N0000,72.0,73.0,72.0,73.0,1.0,1.3888888,2601,1765252932058,1,2025-12-09T04:02:40.648016
472,ACL.N0000,244.25,245.0,244.0,245.0,1.0,0.40983605,18836,1765252932348,85,2025-12-09T04:02:40.648016
554,ACME.N0000,6.3,6.3,6.3,6.3,0.2,3.2786884,12,1765252800245,12,2025-12-09T04:02:40.648016
163,AGAL.N0000,50.2,50.2,50.2,50.2,0.4,0.8032129,188,1765252833599,36,2025-12-09T04:02:40.648016
2026,AGST.N0000,8.8,8.8,8.8,8.8,0.1,1.1494253,1515,1765252800247,1515,2025-12-09T04:02:40.648016
144,AHUN.N0000,107.0,107.0,107.0,107.0,2.5,2.3923445,35,1765252800248,35,2025-12-09T04:02:40.648016
343,SPEN.N0000,149.0,149.0,149.0,149.0,1.0,0.6756757,28,1765252800321,28,2025-12-09T04:02:40.648016
5511,AFS.N0000,23.0,23.0,23.0,23.0,-1.2,-4.958678,2000,1765252800335,2000,2025-12-09T04:02:40.648016
3082,ALUM.N0000,19.5,19.5,19.5,19.5,0.2,1.0362694,11859,1765252800249,11859,2025-12-09T04:02:40.648016
