id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1230.0,1290.0,1196.0,1200.0,-33.25,-2.6961281,1290,1764922499741,100,2025-12-05T08:22:17.435691
1845,AFSL.N0000,68.5,70.0,65.5,67.8,-0.7,-1.0218978,3847,1764922542879,59,2025-12-05T08:22:17.435691
2065,AEL.N0000,71.4,73.0,70.9,71.0,-0.3,-0.42075735,1581770,1764922899902,24,2025-12-05T08:22:17.435691
472,ACL.N0000,238.0,245.0,237.5,239.0,-0.75,-0.31282586,270380,1764922866222,5,2025-12-05T08:22:17.435691
406,APLA.N0000,1649.5,1649.5,1550.0,1570.0,-22.0,-1.3819095,782,1764922448711,75,2025-12-05T08:22:17.435691
554,ACME.N0000,6.4,6.4,6.0,6.0,-0.2,-3.2258065,32162,1764922890804,80,2025-12-05T08:22:17.435691
163,AGAL.N0000,52.1,52.1,49.0,50.0,-2.6,-4.942966,52762,1764922883053,38,2025-12-05T08:22:17.435691
2026,AGST.N0000,8.7,8.9,8.4,8.7,0.1,1.1627907,475178,1764922506000,10,2025-12-05T08:22:17.435691
2035,AGST.X0000,12.2,12.2,12.2,12.2,0.7,6.0869565,401,1764920253163,1,2025-12-05T08:22:17.435691
144,AHUN.N0000,103.25,107.0,102.0,102.0,0.0,0.0,28323,1764921304576,550,2025-12-05T08:22:17.435691
