id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1230.0,1290.0,1200.0,1200.0,-33.25,-2.6961281,838,1764917084464,9,2025-12-05T06:46:23.644600
1845,AFSL.N0000,68.5,70.0,65.5,65.5,-3.0,-4.379562,3482,1764914431172,1,2025-12-05T06:46:23.644600
2065,AEL.N0000,71.4,73.0,71.0,71.8,0.5,0.7012623,1118674,1764917066873,50,2025-12-05T06:46:23.644600
472,ACL.N0000,238.0,245.0,238.0,239.0,-0.75,-0.31282586,192298,1764917003377,50,2025-12-05T06:46:23.644600
406,APLA.N0000,1649.5,1649.5,1575.0,1580.0,-12.0,-0.75376886,341,1764916980476,5,2025-12-05T06:46:23.644600
554,ACME.N0000,6.4,6.4,6.1,6.2,0.0,0.0,1843,1764916182704,350,2025-12-05T06:46:23.644600
163,AGAL.N0000,52.1,52.1,50.5,51.2,-1.4,-2.661597,26424,1764916956852,100,2025-12-05T06:46:23.644600
2026,AGST.N0000,8.7,8.9,8.4,8.6,0.0,0.0,365482,1764917149053,1,2025-12-05T06:46:23.644600
2035,AGST.X0000,12.2,12.2,12.2,12.2,0.7,6.0869565,200,1764908429169,200,2025-12-05T06:46:23.644600
144,AHUN.N0000,103.25,107.0,103.0,103.5,1.5,1.4705882,16445,1764917092402,20,2025-12-05T06:46:23.644600
