id,securityId,symbol,price,change,changePercentage,tradeDate,fetched_at_utc
52661536,357,SEMB.X0000,0.4,0.1,33.333333333333336,1764925607000,2025-12-05T08:54:38.962695
52661900,267,DOCK.N0000,124.25,16.48,15.291825183260647,1764925395000,2025-12-05T08:54:38.962695
52660947,143,AHPL.N0000,58.7,4.7,8.703703703703704,1764925163000,2025-12-05T08:54:38.962695
52659140,264,CHL.N0000,274.75,18.25,7.115009746588694,1764924209000,2025-12-05T08:54:38.962695
52652253,2035,AGST.X0000,12.2,0.7,6.086956521739131,1764920413000,2025-12-05T08:54:38.962695
52661849,189,BOGA.N0000,121.5,6.75,5.882352941176471,1764925177000,2025-12-05T08:54:38.962695
52660529,329,KHC.N0000,15.8,0.8,5.333333333333333,1764924418000,2025-12-05T08:54:38.962695
52659006,193,BALA.N0000,73.7,3.4,4.836415362731152,1764924448000,2025-12-05T08:54:38.962695
52655376,3244,AINS.N0000,37.0,1.7,4.81586402266289,1764922268000,2025-12-05T08:54:38.962695
52660887,364,ATL.N0000,24.5,1.0,4.25531914893617,1764924936000,2025-12-05T08:54:38.962695
