id,securityId,symbol,price,change,changePercentage,tradeDate,fetched_at_utc
52640615,6616,INME.N0000,1750.0,-423.25,-19.475440009202806,1764915571000,2025-12-05T06:28:56.391726
52643285,4439,MCPL.N0000,43.0,-5.0,-10.416666666666666,1764916566000,2025-12-05T06:28:56.391726
52631898,153,SING.N0000,47.1,-4.8,-9.248554913294798,1764912358000,2025-12-05T06:28:56.391726
52643120,400,MBSL.N0000,9.8,-0.9,-8.411214953271028,1764916774000,2025-12-05T06:28:56.391726
52638142,243,SLND.N0000,1820.0,-154.0,-7.801418439716312,1764913952000,2025-12-05T06:28:56.391726
52641871,196,GUAR.N0000,249.5,-19.0,-7.07635009310987,1764915398000,2025-12-05T06:28:56.391726
52642748,246,SHOT.N0000,20.0,-1.5,-6.976744186046512,1764915933000,2025-12-05T06:28:56.391726
52642658,354,PALM.N0000,70.0,-5.2,-6.914893617021277,1764916555000,2025-12-05T06:28:56.391726
52641508,5291,SDF.N0000,40.5,-3.0,-6.896551724137931,1764915424000,2025-12-05T06:28:56.391726
52642901,117,SIL.N0000,365.0,-27.0,-6.887755102040816,1764915946000,2025-12-05T06:28:56.391726
