id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1230.0,1290.0,1200.0,1219.0,-14.25,-1.1554835,839,1764918340146,1,2025-12-05T07:08:44.916801
1845,AFSL.N0000,68.5,70.0,65.5,65.9,-2.6,-3.7956204,3487,1764917683674,5,2025-12-05T07:08:44.916801
2065,AEL.N0000,71.4,73.0,71.0,71.8,0.5,0.7012623,1152783,1764918376520,1000,2025-12-05T07:08:44.916801
472,ACL.N0000,238.0,245.0,238.0,239.0,-0.75,-0.31282586,197063,1764918407162,99,2025-12-05T07:08:44.916801
406,APLA.N0000,1649.5,1649.5,1550.0,1551.0,-41.0,-2.575377,565,1764918132029,1,2025-12-05T07:08:44.916801
554,ACME.N0000,6.4,6.4,6.1,6.2,0.0,0.0,1843,1764916182704,350,2025-12-05T07:08:44.916801
163,AGAL.N0000,52.1,52.1,50.2,51.2,-1.4,-2.661597,30718,1764918127403,25,2025-12-05T07:08:44.916801
2026,AGST.N0000,8.7,8.9,8.4,8.5,-0.1,-1.1627907,392557,1764918340261,2000,2025-12-05T07:08:44.916801
2035,AGST.X0000,12.2,12.2,12.2,12.2,0.7,6.0869565,391,1764917460522,191,2025-12-05T07:08:44.916801
144,AHUN.N0000,103.25,107.0,103.0,103.0,1.0,0.98039216,20686,1764918189782,253,2025-12-05T07:08:44.916801
