id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1230.0,1290.0,1200.0,1200.0,-33.25,-2.6961281,838,1764917084464,9,2025-12-05T06:49:48.747621
1845,AFSL.N0000,68.5,70.0,65.5,65.5,-3.0,-4.379562,3482,1764914431172,1,2025-12-05T06:49:48.747621
2065,AEL.N0000,71.4,73.0,71.0,71.6,0.3,0.42075735,1119979,1764917375907,2,2025-12-05T06:49:48.747621
472,ACL.N0000,238.0,245.0,238.0,238.25,-1.5,-0.6256517,196324,1764917339387,25,2025-12-05T06:49:48.747621
406,APLA.N0000,1649.5,1649.5,1575.0,1580.0,-12.0,-0.75376886,347,1764917377278,6,2025-12-05T06:49:48.747621
554,ACME.N0000,6.4,6.4,6.1,6.2,0.0,0.0,1843,1764916182704,350,2025-12-05T06:49:48.747621
163,AGAL.N0000,52.1,52.1,50.5,51.2,-1.4,-2.661597,26424,1764916956852,100,2025-12-05T06:49:48.747621
2026,AGST.N0000,8.7,8.9,8.4,8.5,-0.1,-1.1627907,387982,1764917301187,2500,2025-12-05T06:49:48.747621
2035,AGST.X0000,12.2,12.2,12.2,12.2,0.7,6.0869565,200,1764908429169,200,2025-12-05T06:49:48.747621
144,AHUN.N0000,103.25,107.0,103.0,103.0,1.0,0.98039216,16800,1764917312251,255,2025-12-05T06:49:48.747621
