id,securityId,symbol,price,change,changePercentage,tradeDate,fetched_at_utc
52654150,6616,INME.N0000,1750.0,-423.25,-19.475440009202806,1764921799000,2025-12-05T08:01:54.770147
52650444,4439,MCPL.N0000,42.8,-5.2,-10.833333333333334,1764919783000,2025-12-05T08:01:54.770147
52653044,520,CTLD.N0000,33.8,-3.9,-10.344827586206897,1764921227000,2025-12-05T08:01:54.770147
52655128,5511,AFS.N0000,22.3,-2.5,-10.080645161290322,1764921745000,2025-12-05T08:01:54.770147
52654900,276,HUNA.N0000,20.6,-2.3,-10.043668122270743,1764921716000,2025-12-05T08:01:54.770147
52649999,153,SING.N0000,47.1,-4.8,-9.248554913294798,1764920244000,2025-12-05T08:01:54.770147
52649443,2997,TESS.X0000,1.0,-0.1,-9.090909090909092,1764919160000,2025-12-05T08:01:54.770147
52647338,243,SLND.N0000,1804.0,-170.0,-8.611955420466058,1764918530000,2025-12-05T08:01:54.770147
52654763,1844,AMF.N0000,65.9,-5.8,-8.089260808926081,1764922429000,2025-12-05T08:01:54.770147
52651281,461,KZOO.N0000,10.2,-0.8,-7.2727272727272725,1764920706000,2025-12-05T08:01:54.770147
