id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1230.0,1290.0,1196.0,1200.0,-33.25,-2.6961281,1290,1764922499741,100,2025-12-05T08:37:43.437798
1845,AFSL.N0000,68.5,70.0,65.5,67.8,-0.7,-1.0218978,3847,1764922542879,59,2025-12-05T08:37:43.437798
2065,AEL.N0000,71.4,73.0,70.9,71.2,-0.1,-0.14025246,1613459,1764923854064,1500,2025-12-05T08:37:43.437798
472,ACL.N0000,238.0,245.0,237.5,240.0,0.25,0.104275286,276802,1764923780283,10,2025-12-05T08:37:43.437798
406,APLA.N0000,1649.5,1649.5,1550.0,1570.0,-22.0,-1.3819095,782,1764922448711,75,2025-12-05T08:37:43.437798
554,ACME.N0000,6.4,6.4,6.0,6.0,-0.2,-3.2258065,37768,1764923780799,5000,2025-12-05T08:37:43.437798
163,AGAL.N0000,52.1,52.1,49.0,51.0,-1.6,-3.041825,58902,1764923323746,13,2025-12-05T08:37:43.437798
2026,AGST.N0000,8.7,8.9,8.4,8.5,-0.1,-1.1627907,536677,1764923845682,69,2025-12-05T08:37:43.437798
2035,AGST.X0000,12.2,12.2,12.2,12.2,0.7,6.0869565,401,1764920253163,1,2025-12-05T08:37:43.437798
144,AHUN.N0000,103.25,107.0,102.0,102.25,0.25,0.24509804,28824,1764923460102,493,2025-12-05T08:37:43.437798
