id,securityId,symbol,price,change,changePercentage,tradeDate,fetched_at_utc
52645830,6616,INME.N0000,1750.0,-423.25,-19.475440009202806,1764918121000,2025-12-05T06:49:49.770385
52646086,4439,MCPL.N0000,42.6,-5.4,-11.25,1764917369000,2025-12-05T06:49:49.770385
52645997,443,LVEN.N0000,61.0,-6.6,-9.763313609467456,1764918082000,2025-12-05T06:49:49.770385
52631898,153,SING.N0000,47.1,-4.8,-9.248554913294798,1764912358000,2025-12-05T06:49:49.770385
52646219,246,SHOT.N0000,19.6,-1.9,-8.837209302325581,1764918270000,2025-12-05T06:49:49.770385
52644441,243,SLND.N0000,1804.0,-170.0,-8.611955420466058,1764917035000,2025-12-05T06:49:49.770385
52645909,400,MBSL.N0000,9.9,-0.8,-7.4766355140186915,1764918201000,2025-12-05T06:49:49.770385
52645445,520,CTLD.N0000,35.0,-2.7,-7.161803713527852,1764917510000,2025-12-05T06:49:49.770385
52645949,492,ONAL.N0000,40.0,-3.0,-6.976744186046512,1764918131000,2025-12-05T06:49:49.770385
52642658,354,PALM.N0000,70.0,-5.2,-6.914893617021277,1764916555000,2025-12-05T06:49:49.770385
