city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,69.8,5,2025-12-08T04:23:23.285987,simulated
Galle,6.0535,80.221,53.2,5,2025-12-08T04:23:23.285987,simulated
Kandy,7.2906,80.6337,46.9,3,2025-12-08T04:23:23.285987,simulated
Jaffna,9.6615,80.0255,45.8,4,2025-12-08T04:23:23.285987,simulated
Negombo,7.2083,79.8358,67.0,0,2025-12-08T04:23:23.285987,simulated
Anuradhapura,8.3114,80.4037,43.3,2,2025-12-08T04:23:23.285987,simulated
Kurunegala,7.4863,80.3647,63.5,5,2025-12-08T04:23:23.285987,simulated
Ratnapura,6.6828,80.3992,53.0,2,2025-12-08T04:23:23.285987,simulated
Matara,5.9549,80.555,42.8,4,2025-12-08T04:23:23.285987,simulated
Badulla,6.9934,81.055,67.2,4,2025-12-08T04:23:23.285987,simulated
