city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,8.8,2,2025-12-09T07:04:35.084266,simulated
Galle,6.0535,80.221,33.7,1,2025-12-09T07:04:35.084266,simulated
Kandy,7.2906,80.6337,37.8,2,2025-12-09T07:04:35.084266,simulated
Jaffna,9.6615,80.0255,39.5,0,2025-12-09T07:04:35.084266,simulated
Negombo,7.2083,79.8358,29.9,2,2025-12-09T07:04:35.084266,simulated
Anuradhapura,8.3114,80.4037,39.4,1,2025-12-09T07:04:35.084266,simulated
Kurunegala,7.4863,80.3647,11.9,0,2025-12-09T07:04:35.084266,simulated
Ratnapura,6.6828,80.3992,15.9,1,2025-12-09T07:04:35.084266,simulated
Matara,5.9549,80.555,22.1,2,2025-12-09T07:04:35.084266,simulated
Badulla,6.9934,81.055,44.0,3,2025-12-09T07:04:35.084266,simulated
