city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,39.3,2,2025-12-06T05:59:58.284844,simulated
Galle,6.0535,80.221,36.2,1,2025-12-06T05:59:58.284844,simulated
Kandy,7.2906,80.6337,44.8,4,2025-12-06T05:59:58.284844,simulated
Jaffna,9.6615,80.0255,28.2,2,2025-12-06T05:59:58.284844,simulated
Negombo,7.2083,79.8358,24.5,0,2025-12-06T05:59:58.284844,simulated
Anuradhapura,8.3114,80.4037,25.9,0,2025-12-06T05:59:58.284844,simulated
Kurunegala,7.4863,80.3647,38.3,2,2025-12-06T05:59:58.284844,simulated
Ratnapura,6.6828,80.3992,15.3,2,2025-12-06T05:59:58.284844,simulated
Matara,5.9549,80.555,14.9,1,2025-12-06T05:59:58.284844,simulated
Badulla,6.9934,81.055,20.8,2,2025-12-06T05:59:58.284844,simulated
