city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,10.8,2,2025-12-06T05:49:45.773542,simulated
Galle,6.0535,80.221,21.2,1,2025-12-06T05:49:45.773542,simulated
Kandy,7.2906,80.6337,20.0,2,2025-12-06T05:49:45.773542,simulated
Jaffna,9.6615,80.0255,36.4,0,2025-12-06T05:49:45.773542,simulated
Negombo,7.2083,79.8358,10.6,2,2025-12-06T05:49:45.773542,simulated
Anuradhapura,8.3114,80.4037,41.3,3,2025-12-06T05:49:45.773542,simulated
Kurunegala,7.4863,80.3647,29.3,1,2025-12-06T05:49:45.773542,simulated
Ratnapura,6.6828,80.3992,16.8,1,2025-12-06T05:49:45.773542,simulated
Matara,5.9549,80.555,30.3,2,2025-12-06T05:49:45.773542,simulated
Badulla,6.9934,81.055,25.4,1,2025-12-06T05:49:45.773542,simulated
