city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,14.5,1,2025-12-06T05:50:30.098538,simulated
Galle,6.0535,80.221,24.3,1,2025-12-06T05:50:30.098538,simulated
Kandy,7.2906,80.6337,33.9,0,2025-12-06T05:50:30.098538,simulated
Jaffna,9.6615,80.0255,39.7,1,2025-12-06T05:50:30.098538,simulated
Negombo,7.2083,79.8358,11.4,2,2025-12-06T05:50:30.098538,simulated
Anuradhapura,8.3114,80.4037,41.0,4,2025-12-06T05:50:30.098538,simulated
Kurunegala,7.4863,80.3647,23.4,0,2025-12-06T05:50:30.098538,simulated
Ratnapura,6.6828,80.3992,28.6,0,2025-12-06T05:50:30.098538,simulated
Matara,5.9549,80.555,34.4,2,2025-12-06T05:50:30.098538,simulated
Badulla,6.9934,81.055,23.9,2,2025-12-06T05:50:30.098538,simulated
