city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,45.6,5,2025-12-06T05:14:15.795974,simulated
Galle,6.0535,80.221,28.9,0,2025-12-06T05:14:15.795974,simulated
Kandy,7.2906,80.6337,42.4,5,2025-12-06T05:14:15.795974,simulated
Jaffna,9.6615,80.0255,26.4,2,2025-12-06T05:14:15.795974,simulated
Negombo,7.2083,79.8358,38.9,1,2025-12-06T05:14:15.795974,simulated
Anuradhapura,8.3114,80.4037,13.2,0,2025-12-06T05:14:15.795974,simulated
Kurunegala,7.4863,80.3647,35.3,2,2025-12-06T05:14:15.795974,simulated
Ratnapura,6.6828,80.3992,21.0,2,2025-12-06T05:14:15.795974,simulated
Matara,5.9549,80.555,20.9,1,2025-12-06T05:14:15.795974,simulated
Badulla,6.9934,81.055,27.4,1,2025-12-06T05:14:15.795974,simulated
