city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,28.0,2,2025-12-06T05:31:09.541299,simulated
Galle,6.0535,80.221,26.1,1,2025-12-06T05:31:09.541299,simulated
Kandy,7.2906,80.6337,39.5,2,2025-12-06T05:31:09.541299,simulated
Jaffna,9.6615,80.0255,33.4,0,2025-12-06T05:31:09.541299,simulated
Negombo,7.2083,79.8358,34.1,0,2025-12-06T05:31:09.541299,simulated
Anuradhapura,8.3114,80.4037,42.3,1,2025-12-06T05:31:09.541299,simulated
Kurunegala,7.4863,80.3647,10.1,2,2025-12-06T05:31:09.541299,simulated
Ratnapura,6.6828,80.3992,28.0,0,2025-12-06T05:31:09.541299,simulated
Matara,5.9549,80.555,31.1,1,2025-12-06T05:31:09.541299,simulated
Badulla,6.9934,81.055,37.7,2,2025-12-06T05:31:09.541299,simulated
