city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,22.4,1,2025-12-06T05:20:56.911683,simulated
Galle,6.0535,80.221,43.4,2,2025-12-06T05:20:56.911683,simulated
Kandy,7.2906,80.6337,38.2,1,2025-12-06T05:20:56.911683,simulated
Jaffna,9.6615,80.0255,11.5,1,2025-12-06T05:20:56.911683,simulated
Negombo,7.2083,79.8358,23.0,2,2025-12-06T05:20:56.911683,simulated
Anuradhapura,8.3114,80.4037,20.4,0,2025-12-06T05:20:56.911683,simulated
Kurunegala,7.4863,80.3647,46.9,1,2025-12-06T05:20:56.911683,simulated
Ratnapura,6.6828,80.3992,28.4,0,2025-12-06T05:20:56.911683,simulated
Matara,5.9549,80.555,31.5,1,2025-12-06T05:20:56.911683,simulated
Badulla,6.9934,81.055,33.1,2,2025-12-06T05:20:56.911683,simulated
