city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,48.0,0,2025-12-08T03:52:26.079963,simulated
Galle,6.0535,80.221,59.1,2,2025-12-08T03:52:26.079963,simulated
Kandy,7.2906,80.6337,46.6,0,2025-12-08T03:52:26.079963,simulated
Jaffna,9.6615,80.0255,56.3,4,2025-12-08T03:52:26.079963,simulated
Negombo,7.2083,79.8358,46.2,5,2025-12-08T03:52:26.079963,simulated
Anuradhapura,8.3114,80.4037,49.3,1,2025-12-08T03:52:26.079963,simulated
Kurunegala,7.4863,80.3647,49.0,5,2025-12-08T03:52:26.079963,simulated
Ratnapura,6.6828,80.3992,44.8,4,2025-12-08T03:52:26.079963,simulated
Matara,5.9549,80.555,58.4,5,2025-12-08T03:52:26.079963,simulated
Badulla,6.9934,81.055,47.9,4,2025-12-08T03:52:26.079963,simulated
