city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,45.5,3,2025-12-09T04:02:34.956990,simulated
Galle,6.0535,80.221,42.7,4,2025-12-09T04:02:34.956990,simulated
Kandy,7.2906,80.6337,41.5,5,2025-12-09T04:02:34.956990,simulated
Jaffna,9.6615,80.0255,57.3,0,2025-12-09T04:02:34.956990,simulated
Negombo,7.2083,79.8358,66.2,5,2025-12-09T04:02:34.956990,simulated
Anuradhapura,8.3114,80.4037,39.8,0,2025-12-09T04:02:34.956990,simulated
Kurunegala,7.4863,80.3647,65.0,3,2025-12-09T04:02:34.956990,simulated
Ratnapura,6.6828,80.3992,75.7,2,2025-12-09T04:02:34.956990,simulated
Matara,5.9549,80.555,51.6,3,2025-12-09T04:02:34.956990,simulated
Badulla,6.9934,81.055,53.0,4,2025-12-09T04:02:34.956990,simulated
