city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,45.0,3,2025-12-08T04:07:53.628995,simulated
Galle,6.0535,80.221,43.5,1,2025-12-08T04:07:53.628995,simulated
Kandy,7.2906,80.6337,44.8,2,2025-12-08T04:07:53.628995,simulated
Jaffna,9.6615,80.0255,55.9,3,2025-12-08T04:07:53.628995,simulated
Negombo,7.2083,79.8358,71.1,1,2025-12-08T04:07:53.628995,simulated
Anuradhapura,8.3114,80.4037,50.0,1,2025-12-08T04:07:53.628995,simulated
Kurunegala,7.4863,80.3647,38.3,0,2025-12-08T04:07:53.628995,simulated
Ratnapura,6.6828,80.3992,53.2,5,2025-12-08T04:07:53.628995,simulated
Matara,5.9549,80.555,55.8,4,2025-12-08T04:07:53.628995,simulated
Badulla,6.9934,81.055,54.7,5,2025-12-08T04:07:53.628995,simulated
