city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,19.0,2,2025-12-09T07:32:52.817683,simulated
Galle,6.0535,80.221,38.4,2,2025-12-09T07:32:52.817683,simulated
Kandy,7.2906,80.6337,35.4,2,2025-12-09T07:32:52.817683,simulated
Jaffna,9.6615,80.0255,28.1,0,2025-12-09T07:32:52.817683,simulated
Negombo,7.2083,79.8358,14.6,0,2025-12-09T07:32:52.817683,simulated
Anuradhapura,8.3114,80.4037,33.2,0,2025-12-09T07:32:52.817683,simulated
Kurunegala,7.4863,80.3647,28.6,0,2025-12-09T07:32:52.817683,simulated
Ratnapura,6.6828,80.3992,23.0,1,2025-12-09T07:32:52.817683,simulated
Matara,5.9549,80.555,13.2,2,2025-12-09T07:32:52.817683,simulated
Badulla,6.9934,81.055,36.9,0,2025-12-09T07:32:52.817683,simulated
