city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,63.3,4,2025-12-08T03:47:16.840232,simulated
Galle,6.0535,80.221,63.3,5,2025-12-08T03:47:16.840232,simulated
Kandy,7.2906,80.6337,56.1,5,2025-12-08T03:47:16.840232,simulated
Jaffna,9.6615,80.0255,69.1,0,2025-12-08T03:47:16.840232,simulated
Negombo,7.2083,79.8358,73.3,4,2025-12-08T03:47:16.840232,simulated
Anuradhapura,8.3114,80.4037,51.5,3,2025-12-08T03:47:16.840232,simulated
Kurunegala,7.4863,80.3647,50.9,3,2025-12-08T03:47:16.840232,simulated
Ratnapura,6.6828,80.3992,47.4,0,2025-12-08T03:47:16.840232,simulated
Matara,5.9549,80.555,56.8,1,2025-12-08T03:47:16.840232,simulated
Badulla,6.9934,81.055,50.1,2,2025-12-08T03:47:16.840232,simulated
