city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,33.2,2,2025-12-09T07:17:32.180005,simulated
Galle,6.0535,80.221,42.5,3,2025-12-09T07:17:32.180005,simulated
Kandy,7.2906,80.6337,25.4,0,2025-12-09T07:17:32.180005,simulated
Jaffna,9.6615,80.0255,20.9,0,2025-12-09T07:17:32.180005,simulated
Negombo,7.2083,79.8358,22.8,0,2025-12-09T07:17:32.180005,simulated
Anuradhapura,8.3114,80.4037,10.0,1,2025-12-09T07:17:32.180005,simulated
Kurunegala,7.4863,80.3647,21.1,1,2025-12-09T07:17:32.180005,simulated
Ratnapura,6.6828,80.3992,23.7,2,2025-12-09T07:17:32.180005,simulated
Matara,5.9549,80.555,27.9,2,2025-12-09T07:17:32.180005,simulated
Badulla,6.9934,81.055,33.2,0,2025-12-09T07:17:32.180005,simulated
