city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,13.1,0,2025-12-06T05:45:06.004414,simulated
Galle,6.0535,80.221,33.8,1,2025-12-06T05:45:06.004414,simulated
Kandy,7.2906,80.6337,21.3,2,2025-12-06T05:45:06.004414,simulated
Jaffna,9.6615,80.0255,18.1,0,2025-12-06T05:45:06.004414,simulated
Negombo,7.2083,79.8358,6.5,2,2025-12-06T05:45:06.004414,simulated
Anuradhapura,8.3114,80.4037,13.6,1,2025-12-06T05:45:06.004414,simulated
Kurunegala,7.4863,80.3647,22.6,1,2025-12-06T05:45:06.004414,simulated
Ratnapura,6.6828,80.3992,35.5,1,2025-12-06T05:45:06.004414,simulated
Matara,5.9549,80.555,40.2,0,2025-12-06T05:45:06.004414,simulated
Badulla,6.9934,81.055,29.1,2,2025-12-06T05:45:06.004414,simulated
