city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,49.9,2,2025-12-09T03:53:18.707488,simulated
Galle,6.0535,80.221,44.9,5,2025-12-09T03:53:18.707488,simulated
Kandy,7.2906,80.6337,65.7,4,2025-12-09T03:53:18.707488,simulated
Jaffna,9.6615,80.0255,49.7,2,2025-12-09T03:53:18.707488,simulated
Negombo,7.2083,79.8358,55.5,4,2025-12-09T03:53:18.707488,simulated
Anuradhapura,8.3114,80.4037,45.8,1,2025-12-09T03:53:18.707488,simulated
Kurunegala,7.4863,80.3647,64.1,3,2025-12-09T03:53:18.707488,simulated
Ratnapura,6.6828,80.3992,57.2,5,2025-12-09T03:53:18.707488,simulated
Matara,5.9549,80.555,53.5,0,2025-12-09T03:53:18.707488,simulated
Badulla,6.9934,81.055,69.2,1,2025-12-09T03:53:18.707488,simulated
