city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,52.4,3,2025-12-09T04:10:44.171719,simulated
Galle,6.0535,80.221,44.5,5,2025-12-09T04:10:44.171719,simulated
Kandy,7.2906,80.6337,50.1,2,2025-12-09T04:10:44.171719,simulated
Jaffna,9.6615,80.0255,48.5,5,2025-12-09T04:10:44.171719,simulated
Negombo,7.2083,79.8358,65.9,1,2025-12-09T04:10:44.171719,simulated
Anuradhapura,8.3114,80.4037,45.1,0,2025-12-09T04:10:44.171719,simulated
Kurunegala,7.4863,80.3647,47.5,3,2025-12-09T04:10:44.171719,simulated
Ratnapura,6.6828,80.3992,58.0,5,2025-12-09T04:10:44.171719,simulated
Matara,5.9549,80.555,36.0,2,2025-12-09T04:10:44.171719,simulated
Badulla,6.9934,81.055,48.2,2,2025-12-09T04:10:44.171719,simulated
