city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,38.9,0,2025-12-09T07:27:46.118376,simulated
Galle,6.0535,80.221,32.4,2,2025-12-09T07:27:46.118376,simulated
Kandy,7.2906,80.6337,23.2,1,2025-12-09T07:27:46.118376,simulated
Jaffna,9.6615,80.0255,19.4,2,2025-12-09T07:27:46.118376,simulated
Negombo,7.2083,79.8358,18.1,0,2025-12-09T07:27:46.118376,simulated
Anuradhapura,8.3114,80.4037,22.2,2,2025-12-09T07:27:46.118376,simulated
Kurunegala,7.4863,80.3647,11.9,0,2025-12-09T07:27:46.118376,simulated
Ratnapura,6.6828,80.3992,42.7,1,2025-12-09T07:27:46.118376,simulated
Matara,5.9549,80.555,23.2,0,2025-12-09T07:27:46.118376,simulated
Badulla,6.9934,81.055,32.8,0,2025-12-09T07:27:46.118376,simulated
