city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,25.5,1,2025-12-08T18:07:00.154218,simulated
Galle,6.0535,80.221,33.7,2,2025-12-08T18:07:00.154218,simulated
Kandy,7.2906,80.6337,30.7,0,2025-12-08T18:07:00.154218,simulated
Jaffna,9.6615,80.0255,33.4,0,2025-12-08T18:07:00.154218,simulated
Negombo,7.2083,79.8358,36.8,1,2025-12-08T18:07:00.154218,simulated
Anuradhapura,8.3114,80.4037,8.8,0,2025-12-08T18:07:00.154218,simulated
Kurunegala,7.4863,80.3647,34.6,1,2025-12-08T18:07:00.154218,simulated
Ratnapura,6.6828,80.3992,41.4,3,2025-12-08T18:07:00.154218,simulated
Matara,5.9549,80.555,11.3,1,2025-12-08T18:07:00.154218,simulated
Badulla,6.9934,81.055,21.5,1,2025-12-08T18:07:00.154218,simulated
