city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,25.6,1,2025-12-06T05:41:23.335176,simulated
Galle,6.0535,80.221,13.6,0,2025-12-06T05:41:23.335176,simulated
Kandy,7.2906,80.6337,35.5,1,2025-12-06T05:41:23.335176,simulated
Jaffna,9.6615,80.0255,26.0,1,2025-12-06T05:41:23.335176,simulated
Negombo,7.2083,79.8358,24.3,2,2025-12-06T05:41:23.335176,simulated
Anuradhapura,8.3114,80.4037,26.2,0,2025-12-06T05:41:23.335176,simulated
Kurunegala,7.4863,80.3647,21.8,1,2025-12-06T05:41:23.335176,simulated
Ratnapura,6.6828,80.3992,25.1,1,2025-12-06T05:41:23.335176,simulated
Matara,5.9549,80.555,43.3,4,2025-12-06T05:41:23.335176,simulated
Badulla,6.9934,81.055,30.8,2,2025-12-06T05:41:23.335176,simulated
